release_year,type,rating,listed_in1,listed_in2,listed_in3,country1,Cluster
2018,Movie,TV-14,Dramas, Thrillers,0,Canada,0
2016,Movie,TV-14,Dramas, International Movies, Romantic Movies,Nigeria,0
2016,Movie,TV-MA,Comedies, Dramas, International Movies,Brazil,0
2017,TV Show,TV-MA,Crime TV Shows, Docuseries, International TV Shows,Australia,3
2016,Movie,TV-G,Documentaries, Faith & Spirituality, Music & Musicals,United States,1
2014,Movie,TV-PG,Documentaries,0,0,United States,1
2018,Movie,TV-MA,Documentaries,0,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2004,Movie,R,Dramas, Independent Movies,0,United States,1
2019,TV Show,TV-14,International TV Shows, Korean TV Shows, Romantic TV Shows,South Korea,3
2016,TV Show,TV-MA,British TV Shows, International TV Shows, Romantic TV Shows,United Kingdom,3
2020,Movie,TV-PG,Comedies, Dramas, International Movies,Indonesia,0
2015,Movie,TV-14,Comedies, Dramas, International Movies,Philippines,0
2020,TV Show,TV-PG,British TV Shows, International TV Shows, Reality TV,United Kingdom,3
2019,TV Show,TV-MA,Romantic TV Shows, TV Comedies,0,United States,3
2018,Movie,TV-MA,Comedies, International Movies, Thrillers,Nigeria,0
2018,TV Show,TV-MA,International TV Shows, TV Dramas,0,Nigeria,3
2016,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2016,Movie,TV-MA,Comedies, Dramas, Independent Movies,India,0
2015,TV Show,TV-Y,Kids' TV, Spanish-Language TV Shows,0,Argentina,3
2014,Movie,R,Horror Movies, Independent Movies, Thrillers,United States,1
2017,Movie,TV-MA,Horror Movies, Independent Movies, Thrillers,United States,1
2019,TV Show,TV-PG,British TV Shows, Kids' TV, TV Thrillers,United Kingdom,3
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Action & Adventure,France,3
2017,TV Show,TV-14,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Germany,3
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Spain,3
2020,TV Show,TV-MA,British TV Shows, Crime TV Shows, International TV Shows,United Kingdom,3
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-14,Dramas, International Movies,0,Malaysia,0
2000,Movie,PG-13,Action & Adventure, International Movies, Romantic Movies,Taiwan,2
2016,Movie,PG-13,Action & Adventure, Romantic Movies,0,China,1
2019,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2019,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Philippines,0
2017,Movie,R,Horror Movies,0,0,United States,1
2019,TV Show,TV-Y7,Kids' TV, TV Comedies,0,Canada,3
2020,TV Show,TV-MA,International TV Shows, TV Dramas, TV Horror,Italy,3
2020,TV Show,TV-MA,TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy,United Kingdom,3
2018,Movie,TV-MA,Dramas, International Movies,0,Hungary,0
2014,Movie,R,Dramas, Thrillers,0,United States,1
2013,Movie,R,Documentaries,0,0,United States,1
2020,Movie,TV-MA,Dramas, International Movies,0,France,0
2015,TV Show,TV-MA,Anime Series, International TV Shows,0,Japan,3
2017,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2018,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2014,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2013,Movie,TV-PG,Comedies, International Movies,0,Turkey,0
2015,Movie,TV-MA,Comedies, International Movies,0,Turkey,0
2020,Movie,R,Action & Adventure, Dramas,0,United States,1
2005,Movie,TV-PG,Movies,0,0,Australia,1
2015,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2014,Movie,TV-MA,Horror Movies, International Movies,0,Turkey,0
2015,Movie,TV-MA,Horror Movies, International Movies,0,Turkey,0
2013,Movie,TV-MA,Horror Movies, International Movies,0,Turkey,0
1989,Movie,PG,Dramas,0,0,United States,2
2020,Movie,TV-14,Children & Family Movies, Comedies, Dramas,Mexico,0
1977,TV Show,TV-PG,British TV Shows, Classic & Cult TV, TV Comedies,United Kingdom,2
2003,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2019,Movie,TV-MA,Dramas, Independent Movies, LGBTQ Movies,United States,1
2015,Movie,NR,Action & Adventure, Horror Movies, International Movies,Argentina,0
2017,Movie,TV-14,Dramas, International Movies,0,India,0
2015,Movie,TV-MA,Dramas, Independent Movies, International Movies,United States,0
2013,Movie,R,Dramas, Independent Movies, LGBTQ Movies,United States,1
2017,TV Show,TV-MA,Crime TV Shows, TV Dramas,0,United States,3
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2013,TV Show,TV-PG,International TV Shows, Romantic TV Shows, TV Dramas,Australia,3
2017,Movie,TV-PG,Dramas, International Movies,0,Germany,0
2020,Movie,TV-G,Children & Family Movies, Documentaries,0,United States,1
2016,Movie,TV-MA,Dramas, Independent Movies, International Movies,Germany,0
2019,Movie,TV-PG,Documentaries,0,0,United States,1
2016,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2016,Movie,TV-PG,Dramas, International Movies, Sports Movies,India,0
2016,TV Show,TV-Y7,British TV Shows, Kids' TV,0,United Kingdom,3
1992,TV Show,TV-Y,British TV Shows, Kids' TV, TV Comedies,United Kingdom,2
2020,Movie,TV-14,Thrillers,0,0,United States,1
2012,TV Show,TV-MA,British TV Shows, Docuseries,0,United Kingdom,3
2018,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2019,Movie,TV-MA,Stand-Up Comedy,0,0,Mexico,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,Mexico,1
2015,Movie,TV-MA,Documentaries, Music & Musicals,0,United States,1
1997,Movie,PG-13,Action & Adventure,0,0,United States,2
2017,Movie,TV-MA,Horror Movies, International Movies,0,Indonesia,0
2018,Movie,TV-MA,Stand-Up Comedy,0,0,France,1
2018,Movie,TV-MA,Action & Adventure, Independent Movies,0,United States,1
2019,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Thrillers,United States,3
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Germany,3
2016,Movie,TV-MA,Dramas, International Movies, Thrillers,India,0
2016,Movie,R,Dramas, Thrillers,0,United Kingdom,1
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2020,Movie,TV-MA,Horror Movies, Independent Movies, International Movies,Mexico,0
2019,Movie,TV-MA,Horror Movies, Independent Movies, Sci-Fi & Fantasy,United States,1
2017,TV Show,TV-PG,TV Sci-Fi & Fantasy, TV Thrillers,0,Canada,3
2015,Movie,R,Dramas, International Movies, Thrillers,United States,0
2013,Movie,PG-13,Horror Movies, Sci-Fi & Fantasy,0,United States,1
1956,Movie,TV-14,Classic Movies, Dramas, International Movies,Egypt,2
2003,Movie,TV-MA,Horror Movies, International Movies, Thrillers,India,0
2015,TV Show,TV-MA,International TV Shows, TV Horror, TV Thrillers,India,3
2016,Movie,TV-14,Dramas, International Movies,0,India,0
2020,TV Show,TV-14,Romantic TV Shows, TV Comedies, TV Dramas,United States,3
1991,Movie,NR,Classic Movies, Dramas, Independent Movies,United Kingdom,2
2017,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2017,TV Show,TV-MA,Stand-Up Comedy & Talk Shows, TV Comedies,0,United States,3
2019,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2020,Movie,PG,Documentaries,0,0,United States,1
2020,Movie,TV-MA,Stand-Up Comedy,0,0,Sweden,1
2016,Movie,TV-MA,Comedies, International Movies,0,United Kingdom,0
2016,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2019,Movie,TV-MA,Documentaries, Music & Musicals,0,Canada,1
2017,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2002,TV Show,TV-14,Romantic TV Shows, TV Dramas, Teen TV Shows,United States,3
2017,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,China,3
2018,Movie,R,Horror Movies, Independent Movies,0,Bulgaria,1
2019,TV Show,TV-MA,TV Action & Adventure, TV Comedies, TV Horror,United States,3
2017,TV Show,TV-MA,International TV Shows, TV Dramas,0,Taiwan,3
2017,Movie,TV-MA,Dramas, Independent Movies,0,United States,1
2019,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2020,TV Show,TV-14,TV Action & Adventure, TV Sci-Fi & Fantasy,0,United States,3
2018,Movie,TV-PG,Comedies, International Movies,0,Netherlands,0
2015,Movie,R,Documentaries,0,0,United States,1
2018,Movie,TV-MA,Comedies,0,0,United Kingdom,1
2019,Movie,TV-MA,Dramas, International Movies, Thrillers,Philippines,0
2008,TV Show,TV-MA,British TV Shows, TV Horror, TV Thrillers,United Kingdom,3
2020,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2019,Movie,TV-14,Horror Movies,0,0,United States,1
2006,Movie,TV-14,Independent Movies, International Movies, Thrillers,India,0
2018,Movie,TV-14,Dramas, Thrillers,0,United States,1
2019,Movie,TV-PG,Independent Movies, Thrillers,0,United States,1
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Finland,3
2016,Movie,PG-13,Comedies, Dramas, Independent Movies,United States,1
2016,Movie,TV-14,Comedies, Dramas, Independent Movies,India,0
2012,Movie,TV-Y7-FV,Children & Family Movies, Comedies,0,United States,1
2018,Movie,TV-MA,Comedies, Dramas, International Movies,Taiwan,0
2016,TV Show,TV-MA,International TV Shows, Korean TV Shows, TV Dramas,South Korea,3
2011,Movie,TV-PG,Comedies, Romantic Movies,0,Canada,1
2019,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2016,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2010,Movie,R,Comedies,0,0,United States,1
2018,TV Show,TV-PG,Reality TV,0,0,United States,3
2020,Movie,TV-14,Comedies, International Movies,0,Colombia,0
2017,Movie,R,Horror Movies,0,0,United States,1
2017,Movie,TV-MA,Horror Movies, Thrillers,0,United States,1
2020,Movie,R,Horror Movies,0,0,United States,1
2017,Movie,R,Action & Adventure,0,0,United States,1
2020,Movie,TV-MA,Comedies,0,0,United States,1
2017,Movie,TV-MA,International Movies, Sports Movies,0,United Kingdom,1
2016,Movie,TV-14,Comedies, International Movies,0,Turkey,0
2014,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2017,Movie,PG,Children & Family Movies, Comedies,0,Spain,1
2017,TV Show,TV-MA,Crime TV Shows, Docuseries,0,United States,3
2016,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Australia,3
2013,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2002,Movie,TV-MA,International Movies, Thrillers,0,India,0
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2008,Movie,R,Action & Adventure, Dramas,0,United States,1
2016,Movie,TV-14,Documentaries,0,0,United States,1
2017,TV Show,TV-14,International TV Shows, TV Dramas, Teen TV Shows,Canada,3
2017,Movie,TV-14,Comedies, Dramas, Independent Movies,United States,0
2009,Movie,TV-14,Dramas, International Movies,0,India,0
2011,Movie,TV-MA,Action & Adventure, Comedies, International Movies,India,0
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,India,3
2014,Movie,TV-14,Comedies, International Movies, Romantic Movies,Turkey,0
2018,Movie,TV-PG,Comedies, International Movies,0,Turkey,0
2018,Movie,R,Horror Movies, Thrillers,0,United States,1
2015,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2018,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2015,Movie,R,Horror Movies, Independent Movies,0,United States,1
2018,Movie,R,Action & Adventure,0,0,United States,1
1992,Movie,R,Stand-Up Comedy,0,0,United States,2
2017,TV Show,TV-Y,British TV Shows, Kids' TV, TV Comedies,United Kingdom,3
2019,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2017,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
2015,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2018,Movie,TV-MA,International Movies,0,0,United Kingdom,1
2018,Movie,TV-MA,Movies,0,0,United Kingdom,1
2019,TV Show,TV-MA,British TV Shows, International TV Shows, TV Comedies,United Kingdom,3
2019,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Thrillers,United States,3
2019,TV Show,TV-14,International TV Shows, Korean TV Shows, TV Dramas,South Korea,3
2017,Movie,TV-MA,Dramas, International Movies, Romantic Movies,Argentina,0
2017,Movie,TV-MA,Horror Movies, Thrillers,0,United States,1
2020,Movie,TV-MA,Comedies, Romantic Movies,0,United States,1
2017,Movie,TV-MA,Comedies, International Movies,0,Argentina,0
2019,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Spain,0
1997,Movie,TV-14,Dramas, International Movies,0,France,2
2020,TV Show,TV-MA,International TV Shows, TV Dramas, TV Horror,Taiwan,3
2017,Movie,TV-14,Action & Adventure, International Movies,0,Egypt,0
2016,Movie,R,Thrillers,0,0,United Kingdom,1
2016,Movie,TV-MA,Dramas,0,0,United States,1
2009,Movie,TV-MA,Dramas, International Movies, Romantic Movies,India,0
2019,Movie,TV-14,Thrillers,0,0,United States,1
2016,Movie,TV-MA,Dramas, International Movies,0,Finland,0
2017,Movie,TV-MA,Horror Movies, Sci-Fi & Fantasy, Thrillers,Canada,0
2018,TV Show,TV-MA,Anime Series, International TV Shows, TV Horror,Japan,3
2017,TV Show,TV-PG,International TV Shows,0,0,India,3
2004,Movie,TV-PG,Dramas, International Movies,0,India,0
2013,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2007,Movie,TV-14,Action & Adventure, Comedies, International Movies,India,0
2007,Movie,TV-14,Dramas, Music & Musicals, Sports Movies,United Kingdom,0
2015,Movie,TV-PG,Comedies, Dramas, Independent Movies,India,0
2015,Movie,TV-PG,Comedies, Dramas, International Movies,India,0
2014,TV Show,TV-PG,International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,India,3
2017,Movie,TV-G,Children & Family Movies, Dramas, International Movies,India,0
2015,TV Show,TV-14,International TV Shows, TV Dramas,0,Malaysia,3
2010,Movie,TV-MA,Dramas, International Movies,0,India,0
2009,Movie,TV-14,Comedies, International Movies, Music & Musicals,India,0
2018,Movie,TV-14,Action & Adventure, International Movies, Sci-Fi & Fantasy,China,0
2020,TV Show,TV-MA,International TV Shows, Spanish-Language TV Shows, TV Action & Adventure,Mexico,3
2019,TV Show,TV-14,Docuseries, Science & Nature TV,0,United States,3
2015,TV Show,TV-PG,International TV Shows, Romantic TV Shows, TV Dramas,China,3
2017,Movie,TV-PG,Documentaries,0,0,United Kingdom,1
2015,Movie,NR,Dramas, International Movies,0,France,0
2002,Movie,PG-13,Action & Adventure,0,0,United Kingdom,1
2015,Movie,TV-MA,International Movies, Thrillers,0,South Africa,1
2016,Movie,TV-MA,Stand-Up Comedy,0,0,Germany,1
1990,Movie,TV-14,Comedies, Dramas, International Movies,India,2
2001,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2015,Movie,TV-MA,Comedies, Dramas, International Movies,India,0
2002,Movie,TV-14,Dramas, International Movies, Music & Musicals,India,0
1998,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,2
2014,Movie,TV-PG,International Movies, Music & Musicals, Romantic Movies,India,0
2018,Movie,TV-14,Dramas, International Movies, Romantic Movies,Indonesia,0
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,Indonesia,0
2015,Movie,TV-PG,Action & Adventure, Dramas, International Movies,India,0
2010,Movie,PG-13,Comedies,0,0,United States,1
2020,TV Show,TV-Y7,Anime Series, Kids' TV,0,United States,3
2008,TV Show,TV-Y7,Anime Series, Kids' TV,0,Japan,3
2017,TV Show,TV-Y7,Kids' TV,0,0,United States,3
2018,TV Show,TV-MA,Crime TV Shows, TV Dramas, TV Mysteries,United States,3
2018,TV Show,TV-MA,International TV Shows, TV Dramas, TV Mysteries,Egypt,3
1985,Movie,TV-14,Action & Adventure, International Movies,0,Hong Kong,2
1982,Movie,TV-14,Cult Movies, Dramas, International Movies,India,2
2018,Movie,TV-MA,Comedies, International Movies, Romantic Movies,Kenya,0
2017,Movie,TV-MA,Documentaries,0,0,United States,1
2021,TV Show,TV-14,TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy,United States,3
2018,TV Show,TV-MA,TV Comedies,0,0,United States,3
2017,Movie,TV-14,Thrillers,0,0,United States,1
2009,Movie,R,Action & Adventure, International Movies, Sci-Fi & Fantasy,South Africa,0
2016,Movie,TV-MA,Dramas, Independent Movies, International Movies,France,0
2019,Movie,TV-PG,Children & Family Movies, Comedies,0,Brazil,1
2012,Movie,R,Action & Adventure, Dramas,0,United States,1
2020,Movie,TV-MA,Dramas, International Movies,0,France,0
2020,TV Show,TV-14,International TV Shows, Romantic TV Shows, TV Comedies,South Korea,3
2010,Movie,TV-PG,Comedies, International Movies,0,India,0
2009,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2017,TV Show,TV-MA,British TV Shows, International TV Shows, Romantic TV Shows,United Kingdom,3
1965,Movie,PG-13,Classic Movies, Dramas, Romantic Movies,United States,2
2019,TV Show,TV-14,TV Comedies,0,0,United States,3
2016,Movie,TV-MA,Dramas, Thrillers,0,United States,1
2018,TV Show,TV-MA,Crime TV Shows, International TV Shows, TV Dramas,Germany,3
2019,Movie,R,Comedies, Dramas,0,United States,1
2019,TV Show,TV-MA,International TV Shows, TV Dramas,0,Lebanon,3
2020,Movie,TV-MA,Dramas, Independent Movies, International Movies,India,0
2019,Movie,TV-14,Documentaries, Music & Musicals,0,United Kingdom,1
2019,TV Show,TV-14,TV Dramas,0,0,United States,3
2020,Movie,TV-PG,Children & Family Movies, Music & Musicals,0,United States,1
2019,Movie,TV-PG,Children & Family Movies,0,0,United States,1
2014,Movie,PG,Children & Family Movies, Dramas,0,United States,1
2019,Movie,R,International Movies, Thrillers,0,Denmark,1
2006,Movie,TV-14,Action & Adventure, International Movies,0,India,0
2011,Movie,TV-14,Action & Adventure, International Movies, Music & Musicals,India,0
2015,Movie,TV-14,Comedies, Independent Movies,0,United States,1
2015,Movie,PG-13,Comedies,0,0,United States,1
2010,Movie,R,Horror Movies,0,0,United States,1
2015,Movie,TV-MA,Action & Adventure, Documentaries, International Movies,France,0
2016,Movie,TV-MA,Action & Adventure, Documentaries, International Movies,France,0
2017,Movie,TV-14,Action & Adventure, Documentaries, International Movies,France,0
2011,Movie,TV-PG,Comedies, International Movies, Romantic Movies,Hong Kong,0
2014,Movie,TV-14,Comedies, International Movies, Romantic Movies,Hong Kong,0
2016,Movie,R,Horror Movies, International Movies,0,United Kingdom,0
2016,Movie,TV-MA,Documentaries, International Movies,0,United Kingdom,0
2016,Movie,R,Comedies, Dramas, Independent Movies,United States,1
2020,Movie,TV-MA,Horror Movies, International Movies,0,Spain,0
2012,Movie,TV-MA,Stand-Up Comedy,0,0,United States,1
1997,Movie,R,Dramas, Thrillers,0,United States,2
2005,Movie,R,Action & Adventure, Horror Movies, Sci-Fi & Fantasy,United Kingdom,0
2019,Movie,R,Action & Adventure, Horror Movies, Sci-Fi & Fantasy,United States,1
2013,TV Show,TV-14,Reality TV, Science & Nature TV,0,United States,3
2020,Movie,TV-14,Comedies, International Movies,0,India,0
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2020,TV Show,TV-MA,Anime Series, International TV Shows,0,Japan,3
2008,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2020,Movie,TV-G,Children & Family Movies, Comedies, Dramas,Brazil,0
1999,Movie,R,Thrillers,0,0,United States,2
2020,Movie,TV-14,Action & Adventure, International Movies,0,China,0
1989,Movie,TV-14,Action & Adventure, Comedies, International Movies,Hong Kong,2
2008,Movie,PG-13,Dramas, Faith & Spirituality,0,United States,1
2018,Movie,PG-13,Dramas, International Movies,0,Russia,0
2020,TV Show,TV-PG,Docuseries, Reality TV, Science & Nature TV,United States,3
2003,Movie,PG,Children & Family Movies, Comedies,0,United States,1
2018,Movie,PG,Children & Family Movies, Comedies,0,France,1
2012,Movie,PG,Children & Family Movies,0,0,United States,1
2020,TV Show,TV-14,British TV Shows, International TV Shows, TV Dramas,United Kingdom,3
2018,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2019,Movie,TV-PG,Action & Adventure, Anime Features, Children & Family Movies,Japan,0
2006,Movie,TV-14,Action & Adventure, International Movies,0,Hong Kong,0
1996,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,2
2015,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2000,Movie,PG,Action & Adventure, Sci-Fi & Fantasy,0,United States,2
2017,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2020,Movie,PG-13,Action & Adventure, Sci-Fi & Fantasy,0,United States,1
2014,Movie,TV-PG,Children & Family Movies, Comedies,0,United States,1
2018,TV Show,TV-Y7,Kids' TV, TV Action & Adventure,0,United States,3
2020,TV Show,TV-Y,Kids' TV, TV Comedies,0,United States,3
2020,Movie,TV-Y,Children & Family Movies, Comedies,0,United States,1
2020,Movie,TV-Y,Children & Family Movies, Comedies,0,United States,1
2020,Movie,TV-Y,Children & Family Movies, Comedies,0,United States,1
2016,TV Show,TV-14,Romantic TV Shows, TV Comedies, TV Dramas,United States,3
2017,Movie,TV-G,Documentaries,0,0,United States,1
2015,Movie,TV-MA,Documentaries,0,0,United States,1
2005,TV Show,TV-PG,Kids' TV, TV Comedies,0,United States,3
2011,TV Show,TV-PG,Kids' TV, TV Comedies,0,United States,3
2017,Movie,TV-Y,Children & Family Movies, Comedies, Music & Musicals,United States,1
2011,TV Show,TV-PG,Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,United States,3
2008,TV Show,TV-PG,Kids' TV, TV Action & Adventure, TV Comedies,United States,3
2008,TV Show,TV-PG,Kids' TV, TV Action & Adventure, TV Comedies,United States,3
2009,TV Show,TV-PG,Kids' TV, TV Comedies,0,United States,3
2017,Movie,TV-PG,Documentaries, International Movies,0,Germany,0
2020,TV Show,TV-14,Anime Series, International TV Shows,0,Japan,3
2016,Movie,TV-MA,Comedies, International Movies,0,Hong Kong,0
2015,Movie,TV-14,Dramas, International Movies, Thrillers,India,0
2019,Movie,TV-14,Action & Adventure, International Movies,0,India,0
2018,Movie,TV-PG,Dramas,0,0,United States,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Spain,3
2015,TV Show,TV-MA,Crime TV Shows, Docuseries,0,United States,3
2019,Movie,R,Comedies,0,0,United States,1
2018,Movie,TV-MA,Dramas, Independent Movies, International Movies,Chile,0
2018,Movie,TV-PG,Dramas, International Movies,0,Japan,0
2018,Movie,TV-MA,Dramas, Independent Movies, LGBTQ Movies,United States,1
2018,Movie,PG,Children & Family Movies, Comedies,0,China,1
2018,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,1
2015,TV Show,TV-14,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,United States,3
2014,Movie,TV-14,Dramas, Independent Movies, International Movies,Pakistan,0
2003,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,0
2003,Movie,PG-13,Comedies,0,0,United States,1
2018,Movie,PG-13,Comedies, Dramas, Independent Movies,United States,1
1984,Movie,TV-14,Action & Adventure, Dramas, International Movies,India,2
1998,Movie,TV-14,Comedies, Dramas, International Movies,India,2
2016,TV Show,TV-MA,Anime Series, Crime TV Shows, International TV Shows,Japan,3
2019,TV Show,TV-14,TV Dramas,0,0,United States,3
2016,Movie,TV-14,Documentaries,0,0,United Kingdom,1
2020,Movie,TV-MA,Dramas, International Movies, Thrillers,France,0
2014,Movie,PG,Children & Family Movies, Sci-Fi & Fantasy,0,United States,1
2014,TV Show,TV-Y,Kids' TV,0,0,Brazil,3
2015,TV Show,TV-PG,British TV Shows, Docuseries, Science & Nature TV,United Kingdom,3
2019,Movie,R,Dramas, Romantic Movies,0,United Kingdom,1
2015,Movie,PG,Dramas,0,0,United States,1
2018,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2019,TV Show,TV-MA,TV Comedies, TV Dramas,0,United States,3
2010,Movie,PG-13,Comedies, Romantic Movies,0,United States,1
2009,TV Show,TV-MA,International TV Shows, Romantic TV Shows, TV Comedies,Taiwan,3
2010,Movie,PG-13,Dramas, Romantic Movies,0,United States,1
2018,Movie,TV-14,International Movies, Thrillers,0,India,0
2019,Movie,PG-13,Documentaries, Music & Musicals,0,United States,1
2015,Movie,TV-MA,Documentaries, Sports Movies,0,United Kingdom,1
1983,Movie,TV-MA,Stand-Up Comedy,0,0,United States,2
1987,Movie,R,Stand-Up Comedy,0,0,United States,2
2018,Movie,TV-MA,Independent Movies, Thrillers,0,United States,1
1998,Movie,TV-MA,Comedies, Dramas, Independent Movies,United States,2
2018,TV Show,TV-MA,International TV Shows, Spanish-Language TV Shows, TV Dramas,Argentina,3
2017,Movie,TV-MA,Stand-Up Comedy,0,0,Brazil,1
2019,Movie,TV-MA,Stand-Up Comedy,0,0,Italy,1
2018,Movie,TV-14,Comedies, International Movies,0,India,0
2018,Movie,TV-14,Dramas, International Movies, Romantic Movies,India,0
2019,Movie,TV-14,Horror Movies, International Movies,0,Philippines,0
2014,Movie,PG-13,Dramas, International Movies, Romantic Movies,United Kingdom,0
2019,Movie,TV-14,Dramas, International Movies, Romantic Movies,Indonesia,0
2015,Movie,TV-14,Dramas, International Movies,0,India,0
2009,TV Show,TV-MA,Docuseries, International TV Shows,0,France,3
2006,Movie,TV-PG,Comedies, International Movies,0,Egypt,0
2009,Movie,TV-PG,Dramas, Independent Movies, International Movies,India,0
2004,Movie,TV-MA,Dramas, International Movies, Thrillers,India,0
1983,Movie,TV-14,Dramas, International Movies, Music & Musicals,India,2
2005,Movie,TV-14,International Movies, Music & Musicals, Thrillers,India,0
2019,Movie,TV-14,Comedies, Dramas, International Movies,India,0
2012,Movie,TV-14,Comedies, International Movies, Romantic Movies,India,0
2016,Movie,TV-PG,Dramas, International Movies,0,Turkey,0
2012,Movie,R,Action & Adventure,0,0,United States,1
2013,TV Show,NR,International TV Shows, Romantic TV Shows, Spanish-Language TV Shows,Spain,3
2017,Movie,TV-MA,Comedies, Dramas,0,United States,1
2019,Movie,TV-MA,Dramas, Thrillers,0,United States,1
2008,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Colombia,3
2010,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Colombia,3
2018,TV Show,TV-MA,Crime TV Shows, Spanish-Language TV Shows, TV Action & Adventure,Mexico,3
1979,TV Show,TV-PG,Classic & Cult TV, Kids' TV, Spanish-Language TV Shows,Mexico,2
2017,Movie,TV-14,Documentaries, International Movies,0,Venezuela,0
2010,TV Show,TV-14,Romantic TV Shows, Spanish-Language TV Shows, TV Dramas,United States,3
2018,Movie,TV-MA,Comedies, International Movies,0,Spain,0
2018,Movie,TV-MA,Dramas, International Movies,0,Mexico,0
2020,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Mexico,3
2017,Movie,TV-MA,Stand-Up Comedy,0,0,Mexico,1
2019,TV Show,TV-MA,Crime TV Shows, International TV Shows, Spanish-Language TV Shows,Argentina,3
2018,Movie,TV-14,Documentaries, International Movies,0,Argentina,0
